name,nature,termStart,termEnd,state,constituency,party,gender,education,educationDetails,age,debates,bills,questions,attendance,notes
Tapas Paul,Elected,18-May-09,In office,West Bengal,Krishnanagar,All India Trinamool Congress,Male,Graduate,B.Sc. (Bio Science); Educated at Burdwan University,53,6,0,0,68, (All data updated till 22 May 2012)
Tarachand Bhagora,Elected,18-May-09,In office,Rajasthan,Banswara,Indian National Congress,Male,Post Graduate,"M.A. (Pol. Sc.); Educated at Govt. P.G. College, Dungarpur, Rajasthan",58,3,0,154,82, (All data updated till 22 May 2012)
Tarun Mandal,Elected,18-May-09,In office,West Bengal,Jaynagar,Independent,Male,Graduate,"M.B.B.S., P.G.C.C.H.M.; Educated at Medical College, Calcutta University and National Institute of Health & Family Welfare, New Delhi",53,98,0,20,75, (All data updated till 22 May 2012)
Tathagata Satpathy,Elected,18-May-09,In office,Orissa,Dhenkanal,Biju Janata Dal,Male,Graduate,"B.A.; Educated at Sri Aurobindo International Centre of Education, Pondicherry",56,24,0,248,70, (All data updated till 22 May 2012)
Thalikkottai Rajuthevar Baalu,Elected,18-May-09,In office,Tamil Nadu,Sriperumbudur,Dravida Munnetra Kazhagam,Male,Graduate,"B.Sc., L.C.E.; Educated at New College, University of Madras, Chennai and Central Polytechnic, Chennai, Tamil Nadu",70,27,0,98,81, (All data updated till 22 May 2012)
Thangso Baite,Elected,18-May-09,In office,Manipur,Outer Manipur,Indian National Congress,Male,Post Graduate,M.A.,59,2,0,4,99, (All data updated till 22 May 2012)
Thirumaa Valavan Thol,Elected,18-May-09,In office,Tamil Nadu,Chidambaram,Viduthalai Chiruthaigal Katchi,Male,Post Graduate,"B.L., M.A. (Criminology), B.Sc. (Chemistry); Educated at Presidency College, Chennai and Madras Law College, University of Madras, Chennai",49,24,0,7,46, (All data updated till 22 May 2012)
Thokchom Meinya,Elected,18-May-09,In office,Manipur,Inner Manipur,Indian National Congress,Male,Doctorate,"M.Sc., LL.B., M. Phil, Ph. D.; Educated at D.M. College, Imphal, Guwahati University, Guwahati and Osmania University, Hyderabad",66,36,1,149,99, (All data updated till 22 May 2012)
Tufani Saroj,Elected,18-May-09,In office,Uttar Pradesh,Machhlishahr,Samajwadi Party,Male,Graduate,"B.A.; Educated at Baldeo Degree College, Baragaon, Varanasi (Uttar Pradesh) ",55,42,0,215,89, (All data updated till 22 May 2012)
Tushar Amarsinh Chaudhary,Elected,18-May-09,In office,Gujarat,Bardoli,Indian National Congress,Male,Graduate,"M.B.B.S.; Educated at M.S. University, Baroda, Gujarat",46,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.� They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 22 May 2012)"
