name,nature,termStart,termEnd,state,constituency,party,gender,education,educationDetails,age,debates,bills,questions,attendance,notes
Vijay Mallya,Elected,01-Jul-10,In office,Karnataka,,Independent,Male,Graduate,"B.Com. (Hons.), Doctor of Philosophy in Business Administration (Honoris Causa) conferred by Southern California University, Irvine, USA Educated at St. Xaviers College, Kolkata",56,0,0,109,41, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Vijaykumar Rupani,Elected,03-Apr-06,02-04-2012,Gujarat,,Bharatiya Janata Party,Male,Graduate,"B.A., LL.B. Educated at Saurashtra University, Rajkot (Gujarat)",55,17,0,85,75, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Vijaylaxmi Sadho,Elected,30-Jun-10,In office,Madhya Pradesh,,Indian National Congress,Female,Doctorate,"M.B.B.S. Educated at Gandhi Medical College, Bhopal",56,11,0,0,94, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Vikram Verma,Elected,03-Apr-06,02-04-2012,Madhya Pradesh,,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Hindi and Political Science), LL.B. Educated at Christian College, Indore and Gujarati College, Indore (Madhya Pradesh) ",68,15,0,0,91, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Vilasrao Dagadojirao Deshmukh,Elected,03-Apr-12,In office,Maharashtra,,Indian National Congress,Male,Professional Graduate,"B.Sc., B.A., LL.B. Educated at Garware College, Pune University, Pune and I.L.S. Law College, Pune (Maharashtra)",67,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.� They do not sign the attendance register, ask questions, or introduce private member bills. (All data corresponds to the period 04 Jun 2009 to 22 May 2012)"
Vinay Katiyar,Elected,03-Apr-12,In office,Uttar Pradesh,,Bharatiya Janata Party,Male,Graduate,"B.Com. Educated at Kanpur University, Kanpur (Uttar Pradesh) ",57,7,0,0,74, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Viplove Thakur,Elected,03-Apr-06,02-04-2012,Himachal Pradesh,,Indian National Congress,Female,Post Graduate,"B.A., M.A. (Political Science) Educated at Panjab University, Chandigarh",68,27,0,393,96, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Virendra Bhatia,Elected,03-Apr-06,24-05-2010,Uttar Pradesh,,Samajwadi Party,Male,Post Graduate,"LL.B., M.Com., M.A.( Sociology), Diploma in Labour Law Educated at Lucknow University, Lucknow (Uttar Pradesh) ",65,5,0,16,33, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Vivek Gupta,Elected,03-Apr-12,In office,West Bengal,,All India Trinamool Congress,Male,Information not available,,Information not available,0,0,0,86, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Y. P. Trivedi,Elected,03-Apr-08,In office,Maharashtra,,Nationalist Congress Party,Male,Graduate,"B. Com., LL.B. Educated at Sydnam College, Mumbai",83,21,2,317,58, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Y. S. Chowdary,Elected,22-Jun-10,In office,Andhra Pradesh,,Telugu Desam Party,Male,Professional Graduate,"B.E. (Bachelor of Engineering) from Chaitanya Institute of Technology, Hyderabad Master of Engineering from P.S.G. College of Technology, Coimbatore",50,19,0,187,87, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
